Sl. No.,Category,State/UT/City,Bankruptcy or Indebtedness - Male,Bankruptcy or Indebtedness - Female,Bankruptcy or Indebtedness - Transgender,Bankruptcy or Indebtedness - Total,Marriage Related Issues (Total) - Male,Marriage Related Issues (Total) - Female,Marriage Related Issues (Total) - Transgender,Marriage Related Issues (Total) - Total,Marriage Related Issues (Non-Settlement of Marriage) - Male,Marriage Related Issues (Non-Settlement of Marriage) - Female,Marriage Related Issues (Non-Settlement of Marriage) - Transgender,Marriage Related Issues (Non-Settlement of Marriage) - Total,Marriage Related Issues (Dowry Related Issues) - Male,Marriage Related Issues (Dowry Related Issues) - Female,Marriage Related Issues (Dowry Related Issues) - Transgender,Marriage Related Issues (Dowry Related Issues) - Total,Marriage Related Issues (Extra Marital affairs) - Male,Marriage Related Issues (Extra Marital affairs) - Female,Marriage Related Issues (Extra Marital affairs) - Transgender,Marriage Related Issues (Extra Marital affairs) - Total,Marriage Related Issues (Divorce) - Male,Marriage Related Issues (Divorce) - Female,Marriage Related Issues (Divorce) - Transgender,Marriage Related Issues (Divorce) - Total,Marriage Related Issues (Others) - Male,Marriage Related Issues (Others) - Female,Marriage Related Issues (Others) - Transgender,Marriage Related Issues (Others) - Total,Failure in Examination - Male,Failure in Examination - Female,Failure in Examination - Transgender,Failure in Examination - Total,Impotency/Infertility - Male,Impotency/Infertility - Female,Impotency/Infertility - Transgender,Impotency/Infertility - Total,Family Problems - Male,Family Problems - Female,Family Problems - Transgender,Family Problems - Total,Illness (Total) - Male,Illness (Total) - Female,Illness (Total) - Transgender,Illness (Total) - Total,Illness (AIDS/STD) - Male,Illness (AIDS/STD) - Female,Illness (AIDS/STD) - Transgender,Illness (AIDS/STD) - Total,Illness (Cancer) - Male,Illness (Cancer) - Female,Illness (Cancer) - Transgender,Illness (Cancer) - Total,Illness (Paralysis) - Male,Illness (Paralysis) - Female,Illness (Paralysis) - Transgender,Illness (Paralysis) - Total,Illness (Insanity/Mental illness) - Male,Illness (Insanity/Mental illness) - Female,Illness (Insanity/Mental illness) - Transgender,Illness (Insanity/Mental illness) - Total,Illness (Other Prolonged Illness) - Male,Illness (Other Prolonged Illness) - Female,Illness (Other Prolonged Illness) - Transgender,Illness (Other Prolonged Illness) - Total,Death of Dear Person - Male,Death of Dear Person - Female,Death of Dear Person - Transgender,Death of Dear Person - Total,Drug Abuse/Alcoholic Addiction - Male,Drug Abuse/Alcoholic Addiction - Female,Drug Abuse/Alcoholic Addiction - Transgender,Drug Abuse/Alcoholic Addiction - Total,Fall in Social Reputation - Male,Fall in Social Reputation - Female,Fall in Social Reputation - Transgender,Fall in Social Reputation - Total,Ideological Causes/Hero Worshipping - Male,Ideological Causes/Hero Worshipping - Female,Ideological Causes/Hero Worshipping - Transgender,Ideological Causes/Hero Worshipping - Total,Love Affairs - Male,Love Affairs - Female,Love Affairs - Transgender,Love Affairs - Total,Poverty - Male,Poverty - Female,Poverty - Transgender,Poverty - Total,Unemployment - Male,Unemployment - Female,Unemployment - Transgender,Unemployment - Total,Property Dispute - Male,Property Dispute - Female,Property Dispute - Transgender,Property Dispute - Total,Suspected/Illicit Relation (Other than Extra Marital Affairs) - Male,Suspected/Illicit Relation (Other than Extra Marital Affairs) - Female,Suspected/Illicit Relation (Other than Extra Marital Affairs) - Transgender,Suspected/Illicit Relation (Other than Extra Marital Affairs) - Total,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Male,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Female,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Transgender,Illegitimate Pregnancy (Other than Extra Marital Affairs) - Total,"Physical Abuse (Rape, etc.) - Male","Physical Abuse (Rape, etc.) - Female","Physical Abuse (Rape, etc.) - Transgender","Physical Abuse (Rape, etc.) - Total",Professional/Career Problem - Male,Professional/Career Problem - Female,Professional/Career Problem - Transgender,Professional/Career Problem - Total,Causes Not Known - Male,Causes Not Known - Female,Causes Not Known - Transgender,Causes Not Known - Total,Other Causes - Male,Other Causes - Female,Other Causes - Transgender,Other Causes - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,331,45,0,376,85,83,0,168,22,4,0,26,1,31,0,32,10,1,0,11,1,3,0,4,51,44,0,95,48,37,0,85,11,18,0,29,1058,457,0,1515,975,634,1,1610,9,7,0,16,6,4,0,10,4,3,0,7,247,165,0,412,709,455,1,1165,20,9,0,29,189,7,0,196,13,1,0,14,0,1,0,1,118,36,0,154,59,14,0,73,40,4,0,44,64,7,0,71,33,32,0,65,0,0,0,0,0,1,0,1,31,4,0,35,340,66,0,406,336,110,1,447,3751,1566,2,5319
2,State,Arunachal Pradesh,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,3,7,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15,0,51,45,16,0,61,96,36,0,132
3,State,Assam,3,0,0,3,176,186,0,362,98,30,0,128,14,62,0,76,20,64,0,84,12,8,0,20,32,22,0,54,20,18,0,38,0,0,0,0,356,144,0,500,117,16,0,133,0,0,0,0,29,13,0,42,0,0,0,0,72,3,0,75,16,0,0,16,2,0,0,2,39,0,0,39,8,5,0,13,0,0,0,0,110,85,0,195,62,11,0,73,134,22,0,156,21,2,0,23,22,9,0,31,0,1,0,1,0,2,0,2,30,13,0,43,398,120,0,518,178,69,0,247,1676,703,0,2379
4,State,Bihar,0,0,0,0,42,43,0,85,33,19,0,52,0,16,0,16,5,5,0,10,2,3,0,5,2,0,0,2,51,25,0,76,0,2,0,2,97,49,0,146,16,11,0,27,0,0,0,0,0,0,0,0,1,0,0,1,7,9,0,16,8,2,0,10,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,23,44,0,67,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,13,2,2,0,4,3,7,0,10,258,185,0,443
5,State,Chhattisgarh,31,6,0,37,217,153,0,370,44,22,0,66,0,42,0,42,24,17,0,41,14,5,0,19,135,67,0,202,49,61,0,110,1,5,0,6,1039,481,0,1520,891,352,0,1243,3,1,0,4,11,2,0,13,82,36,0,118,273,90,0,363,522,223,0,745,46,31,0,77,269,21,0,290,11,5,0,16,2,0,0,2,160,121,0,281,6,1,0,7,33,1,0,34,24,1,0,25,21,12,0,33,0,1,0,1,1,4,0,5,9,3,0,12,775,289,0,1064,1394,519,0,1913,4979,2067,0,7046
6,State,Goa,5,1,0,6,5,3,0,8,1,2,0,3,0,0,0,0,2,0,0,2,0,0,0,0,2,1,0,3,1,1,0,2,1,1,0,2,28,12,0,40,37,23,0,60,0,0,0,0,3,3,0,6,0,1,0,1,25,16,0,41,9,3,0,12,1,1,0,2,34,0,0,34,0,0,0,0,1,0,0,1,15,7,0,22,1,0,0,1,6,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,2,0,11,35,6,0,41,16,3,0,19,195,61,0,256
7,State,Gujarat,65,2,0,67,182,166,0,348,61,59,0,120,12,16,0,28,22,41,0,63,50,31,0,81,37,19,0,56,91,95,0,186,8,18,0,26,1270,766,0,2036,1105,604,0,1709,13,1,0,14,112,41,0,153,95,20,0,115,507,287,0,794,378,255,0,633,55,23,0,78,62,2,0,64,21,5,0,26,6,8,0,14,278,208,0,486,55,8,0,63,294,24,0,318,23,1,0,24,26,7,0,33,0,0,0,0,1,2,0,3,106,30,0,136,1232,491,0,1723,330,123,0,453,5210,2583,0,7793
8,State,Haryana,11,0,0,11,132,80,0,212,103,30,0,133,0,32,0,32,1,6,0,7,1,2,0,3,27,10,0,37,44,13,0,57,0,1,0,1,415,196,0,611,572,125,0,697,1,0,0,1,5,1,0,6,19,2,0,21,337,88,0,425,210,34,0,244,4,1,0,5,136,1,0,137,14,0,0,14,0,0,0,0,72,26,0,98,70,8,0,78,142,12,0,154,90,33,0,123,10,3,0,13,0,0,0,0,0,0,0,0,107,46,0,153,78,24,0,102,885,196,0,1081,2782,765,0,3547
9,State,Himachal Pradesh,0,0,0,0,41,48,0,89,24,22,0,46,0,14,0,14,13,5,0,18,3,3,0,6,1,4,0,5,18,9,0,27,0,0,0,0,107,73,0,180,50,15,0,65,0,0,0,0,6,3,0,9,3,1,0,4,38,11,0,49,3,0,0,3,1,1,0,2,42,1,0,43,3,1,0,4,0,0,0,0,29,23,0,52,7,1,0,8,68,26,0,94,24,8,0,32,4,1,0,5,0,0,0,0,0,0,0,0,23,7,0,30,22,16,0,38,54,17,0,71,493,247,0,740
10,State,Jammu & Kashmir,0,0,0,0,10,17,0,27,6,3,0,9,0,1,0,1,0,0,0,0,1,1,0,2,3,12,0,15,2,6,0,8,1,1,0,2,54,50,0,104,8,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,6,1,0,7,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,14,22,0,36,3,1,0,4,14,25,0,39,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21,20,0,41,25,23,0,48,155,175,0,330
