State or union territory,Population,Sex ratio
Uttar Pradesh,199812341,912
Maharashtra,112374333,929
Bihar,104099452,918
West Bengal,91276115,953
Madhya Pradesh,72626809,931
Tamil Nadu,72147030,996
Rajasthan,68548437,928
Karnataka,61095297,973
Gujarat,60439692,919
Andhra Pradesh,49577103,993
Odisha,41974219,979
Telangana,35003674,988
Kerala,33406061,1084
Jharkhand,32988134,948
Assam,31205576,954
Punjab,27743338,895
Chhattisgarh,25545198,991
Haryana,25351462,879
Delhi,16787941,868
Jammu & Kashmir,12541032,872
Uttarakhand,10086292,963
Himachal Pradesh,6864602,972
Tripura,3673917,960
Meghalaya,2966889,989
Manipur,3307992,992
Nagaland,1978502,931
Goa,1458545,973
Arunachal Pradesh,1383727,938
Puducherry,1247953,1037
Mizoram,1097206,976
Chandigarh,1055450,818
Sikkim,610577,890
D & N Haveli, 428007, 775
Daman & Diu,157757,647
A & N Islands,380581,876
Lakshadweep,64473,946
